Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor einem Jahr,1,Ich bin seit2004 hier patient.und gebe die Note 1.weuter so;
"Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor einem Jahr,9,""Man wird herbestellt damit man aufgenommen wird und dann bekommt man zu hören, dass einem doch nicht mit der Posttraumatischen Belastungsstörung geholfen werden kann da man hier nicht mit den flashbacks umgehen kann. Also wer psychische Probleme hat und man die bewältigen will sollte sich besser ne andere Klinik suchen""";
"Asklepios Fachklinikum Göttingen,3, 4 Sterne ,vor 2 Jahren,4,""Ich fühlte mich als Patient immer ernst genommen und gut behandelt! Wenn man ein Problem hatte, konnte man immer entweder die Pfleger oder die Ärzte ansprechen!""";
"Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 4 Jahren,33,""In dieser Klinik herrschen teils schreckliche Zustände, was den Umgang mit Patienten angeht. Dies gilt insbesondere für die geschlossenen Stationen 1.2 und 1.1.";
Die Patienten werden dort teilweise wie Tiere gehalten und Besucher werden nicht besser behandelt. Viele Pfleger auf diesen Stationen sind menschlich zutiefst abgestumpft und funktionieren wie empathielose Maschinen, sprich, man wird dort des Öfteren menschenunwürdig behandelt, wenn man den Anweisungen des Personals nicht Folge leistet oder wenn man diese hinterfragt.;
;
Aber das Asklepios hat auch gute Seiten. Wie die persönliche Erfahrung ausfällt, hängt demnach davon ab, auf welcher Station man untergebracht wird und mit welchem Pflegepersonal man es zu tun hat. Es gibt auch sehr kompetente und freundliche Ärzte, genau so beim Pflegepersonal.;
;
Aber ich würde wirklich niemandem empfehlen, sich freiwillig und über längere Zeit auf die geschlossenen Stationen zu begeben. Dort sollte man mal wirklich Änderung reinbringen, was den Umgang mit den Patienten und Besuchern angeht. Die Würde eines Menschen ist unantastbar, das gilt auch für Menschen mit psychischer Erkrankung! Und gerade bei solchen sollte man vorsichtig sein und nicht wie die Axt im Walde herumkommandieren und respektlos behandeln.;
;
Ich habe leider sehr schlechte Erfahrungen gemacht, und mit dieser Rezension soll meiner Wut und Enttäuschung Ausdruck verliehen werden. Das muss nicht für jeden gelten;" unter Umständen kann man auch durchaus positive Erfahrungen in dieser Klinik machen."""
"Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 2 Jahren,13,""Nicht zu empfehlen!";
Pfleger und Ärzte sind total unfreundlich und Inkompetent.;
Man wird dort wie Dreck behandelt.;
Es existiert Null Hilfsbereitschaft und wenn man Mal irgendein Anliegen hat reagieren die Pfleger direkt genervt.;
"Bei Meinungsäußerung fliegt man quasi direkt dort raus.""";
"Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor einem Jahr,11,""Angemeldet auf der 11.1, Zusage 2019 mit sehr langer Wartezeit.";
Gelandet auf der 4.2- akute Entgiftungsstation.;
"Zertifizierte, fachliche Entgiftung"""", bedeutet die Aufnahme von Menschen mit richterl.Beschluss, Schizophrenen, Menschen mit Schlafstörungen, Psychosen, auffällig viele mit der Abhängigkeit von Badesalz (Flakka googeln), Alkoholikern, Menschen mit gerontopsychiatrischen Problemen und wenigen Opiatabhängigen.";
Station 4.2=;
"Ein Kessel Buntes"""".Die meisten abgefüllt mit schwersten Neuroleptika/Psychopharmaka.";
Drogen aller Art findet man immer auf Station.;
;
Für jemanden, der schon lange nichts mehr mit der Szene zu tun hat, arbeitet,voll im normalem sozialem Leben integriert ist und freiwillig vom Substitut entziehen möchte oder eine Substitutumstellung anstrebt, ist diese Klinik nicht mehr zu empfehlen.;
"Es gibt 2-3 Mal die Woche Ergotherapie, 1x die Woche """"Sprudelbad"""" oder Fango- falls dies nicht ausfällt.Eine medizinische Informationsgruppe und eine 5minütige Morgenrunde, rundet die """"zertifizierte Entgiftung"""" ab.";
;
Die restlichen 20-24 Std.sitzt man herum.;
Wen wundert es da, dass Pfleger/Pflegerinnen, oft überfordert oder abgestumpft sind.;
Positiv hervorzuheben ist die Stationsärztin Frau Guhll.;
;
Frau Kinder, Sozialarbeiterin, soll hier auch positiv erwähnt werde. Ohne sie würde wohl so mancher Patient nach Entlassung auf der Straße stehen.;
;
"Essen in Kinderportionen, wenn dieses nicht schon nach Öffnung des Essenswagens """"verschwunden"""" ist.";
Männer werden hier nicht satt.;
;
Die Station ist dank der Gleichgültigkeit einiger Patienten sehr dreckig.;
Ein Dank an die Reinigungskräfte.;
;
Fazit: Wer hier wirklich entgiften möchte, sollte sich ein dickes Fell zulegen, vermeiden mit einigen Patienten zu interagieren und so stabil sein, dass ihm/ihr die Drogen auf Station nichts ausmachen.;
;
Ein Tipp an die Pfleger: Von 10 Patienten, die Pola/ Methadon/ Methadicct oder ein anderes Substitut erhalten, spucken ca.5-6 das Substitut/Medikament aus, um es i.V. zu konsumieren oder an andere abzugeben.;
;
"Was ich lernte: Buscopan kann man rauchen, Göttingen ist die einzige Stadt in Deutschland, in der """"Flex"""" eine so große Rolle spielt und Konsumenten, die Hilfe auf der Entgiftungsstation suchen, laufen Gefahr, genau auf dieser Station rückfällig zu werden.";
;
Es fehlt das Konzept, das noch zu Zeiten des LKH angewandt wurde.;
Menschen in stabiler Substitution, auf dem Weg zur Therapie oder dem Wunsch das Substitut zu reduzieren/umzustellen oder auch mäßigen Beikonsum zu entgiften, brauchen eine Station, auf der ihnen die reelle Möglichkeit gegeben wird, mit Hilfe von Ergotherapie, Gesprächsgruppen, Einzelgesprächen und weiteren Angeboten der Tagesstrukturierung, zu entgiften/ umzustellen/ teilzuentgiften.;
;
Abhängige mit Beschlüssen, sehr junge Abhängige, gerontopsychiatrische Patienten, akut psychotische Menschen, Menschen mit Schlafstörungen oder eben Menschen, die ausschließlich THC, Speed, Koks, Flex (Badesalze) konsumieren, allg.Amphetamine, Alkoholiker ohne Opiatkonsum/ Medikamentenabhängige ohne Opiatkonsum oder generell Menschen, die nie in ihrem Leben von etwas abhängig waren jedoch eine psychische Erkrankung haben, benötigen eine andere Betreuung.;
;
"Durch das """"Mischen"""" der verschiedenen Krankheitsbilder, dem auffällig weit auseinander reichendem Alter (17- 69)und ständigem Angebot jeder Art von illegalen Drogen, ist eine """"zertifizierte Entgiftung"""" für Substituierte u.A. mit dem Wunsch z.B. voll zu entgiften, teilzuentgiften oder sich von mäßigem Beikonsum v. Heroin/ Kokain/ Alkohol u.THC zu befreien, sehr schwer bis unmöglich.";
;
"Ich war in über 20 Jahren, acht Mal im LKH, jetzt Asklepios Klinik. Jedes Mal habe ich mein Ziel erreicht und """"draußen"""" halten können.";
"Bis 2010, meinem letzten Aufenthalt, wurde nach Alter, Erkrankung und """"Stoffgruppen"""" unterteilt.";
Göttingen war DIE Entgiftung für Opiatabhängige über Niedersachsen hinaus- weil sie ein erfolgreiches Konzept anbot.;
;
2019 ist die einst so erfolgreiche Entgiftungsstation nicht mehr wieder zu erkennen.;
;
"Geld regiert die Welt- nun leider auch hier.""";
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 2 Jahren,3,Super unfreundlich am Telefon abgespeist worden. Trotz Überweisung vom Hausarzt. Nicht weiterzuempfehlen;
"Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 4 Jahren,7,""Sehr nette, erfahrene,kompetente und hilsbereite Mitarbeiter. Menschen, die auch mal mehr tun, als das was gemacht werden muss.  Gerade in dem Bereich menschliches Miteinander, kann ich nur positive Dinge berichten/feststellen. Vom Pfleger bis zur Chefärztin habe ich nur Mitarbeiter kennegelernt, die den Menschen dort abholen, wo er steht.""";
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 2 Jahren,8,Der letzte Drecks laden das Personal behandelt ein wie Kleinkinder nutzen ihre Position voll aus teilweise total unfreundlich auf der 1.2 die Oberärtzte da kommt man sich vor ob die schon zu lange hier arbeiten und selber ihre Pillen nehmen absprachen werden überhaupt nicht berücksichtigt in keinster weise bei jeder kleinigkeit wird sofort der ausgang gestrichen besonders schlim die wochenenden da sitzt man nur seine zeit ab sonnst nichts eine reine verwaranstallt leildol und Pillen in hals und ab auf die nächste Station das die Leute bloß ruhig sind und die Pfleger keine Arbeit haben überhaupt nicht weiter zu empfehlen das beste sofort abreissen den laden kann nur sagen Drecks laden;
"Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 4 Jahren,3,""Gute Behandlung. Leider immer zu wenig Betten, wenn eines dringend benötigt wird. Kommt aber auch darauf an auf welcher Station man kommt.""";
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 2 Jahren,1,sehr gutes klima...;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 2 Jahren,7,Eine Verwandte von mir wurde dort eingeliefert und hat panische Angst wieder zurückzukehren. Sie hatte Hämatome an Armen und Beinen. Grauenvoll;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 2 Jahren,10,leute nehmt keine kräuter!!!! spice oder andere legale drogen! durchlebt nicht das was mein kumpel grad durchmacht....:((( heftig man!;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 5 Jahren,14,Menschenunwürdiger Umgang mit Patienten. Rechte sind anscheinend nichts wert - Gesetze kennen sie nicht. Pflegerische und soziale Aufgaben werden weitestgehend vernachlässigt. Angehörige von Patienten werden arrogant und von oben herab behandelt. Interne Machtkämpfe unter Ärzten und Personal - fehlende Absprachen. Ohne juristischen Beistand keine Kommunikation möglich. Trauriger geht's nicht!!!;
Asklepios Fachklinikum Göttingen,3, 4 Sterne ,vor 4 Jahren,2,Ganz nettes und kompetentes Personal. Leider jedoch viel zu wenig Kapazität in jeglicher Hinsicht;
"Asklepios Fachklinikum Göttingen,3, 4 Sterne ,vor 3 Jahren,8,""Es ist in erster Linie ein akut Krankenhaus, das erklärt auch das hier in dem Rahmen auch nur stabilisierend behandelt wird. Daher gibt's hier auch geschlossene, halb offene und forensische Stationen. Jedoch hat die asklepios auch diverse fachliche spezielle Therapien, diese sind in den anderen Gebäuden und auch in einem anderen Rahmen. Die Station 9 ist bundesweit bekannt für ihre Frauen zentrierte Trauma Therapie des prof. Dr. Sachse. Somit sollte man genau wissen was man braucht und sich dann in der Klinik informieren. Einzelne Referenzen und objektive wertungen, die sollte man sich über Patienten Foren einholen. Klar ist, das in der Klinik mit der Schwester Einrichtung in  tiefenbrunn, ein rundes Angebot für allerhand Diagnosen, comorbiditäten etc. Vorhanden sind und gleichfalls die akut Versorgung ein fester Bestandteil ist. Ich kann es bedenkenlos empfehlen.""";
"Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 4 Jahren,5,""Hervorragende Klinik, die meisten Abteilungen mit Top-Chefärzten/innen besetzt ,menschlich, kulant, entegenkommend, Pflegepersonal zu 98% top, einige von denen sind schon über 20 Jahre dort (waren es schon als es noch das Nds. LKH Göttingen war)und immer noch mit Herzblut dabei. Habe noch keine bessere psychiatrische Klinik kennengerlernt, weder als Patient noch als Besucher. Macht weiter so.""";
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 3 Jahren,2,Kompetentes Personal. Gute Betreuung.;
"Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 5 Jahren,11,""Unfreundliches Personal, es werden sich an keinerlei Absprachen gehalten. Der Umgang mit Patienten ist unter aller sau und sowas von Menschenunwürdig. Diese Klinik verdient nicht mal EIN Stern. Diese Inkompetenz und Machtgeilheit der Patienten und deren Angehörigen gegenüber ist einfach nur erbärmlich und kläglich.""";
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor einem Jahr,6,Empfang sehr unfreundlich;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 2 Jahren,8,Schlimm;
"Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 4 Jahren,3,""Sehr gut,TOP!""";
"Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 3 Jahren,12,""(Übersetzt von Google) Ich wurde von der Person vor der ganzen Gruppe der anderen armen Seelen in Station 1.1 gedemütigt und beschimpft. Ich fühlte mich gezwungen, diesen faulen Ort nach nur einem Tag zu verlassen.";
;
(Original);
"I was humiliated and verbally abused by the personal in front of the whole group of the other poor souls in station 1.1. I felt forced to leave this rotten place after only one day.""";
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor einem Jahr,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 2 Jahren,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 2 Jahren,0,;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 8 Monaten,0,;
Asklepios Fachklinikum Göttingen,3, 2 Sterne ,vor 4 Jahren,0,;
Asklepios Fachklinikum Göttingen,3, 3 Sterne ,vor 7 Monaten,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor einem Jahr,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 4 Jahren,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 2 Jahren,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 3 Jahren,0,;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 4 Monaten,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 3 Jahren,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 5 Jahren,0,;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 2 Jahren,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor einem Jahr,0,;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 9 Monaten,0,;
Asklepios Fachklinikum Göttingen,3, 5 Sterne ,vor 2 Monaten,0,;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor 4 Monaten,0,;
Asklepios Fachklinikum Göttingen,3, 1 Stern ,vor einem Jahr,0,;
Asklepios Fachklinikum Göttingen,3, 4 Sterne ,vor 5 Jahren,0,;
Ich habe mich sehr gut aufgehoben gefühlt.;
Mein besonderer Dank gilt Schwester Margrit  und Schwester Julia.;
Dem Ärzteteam um Dr.Oettel ein riesengrosses Dankeschön .;
Dr.Oettel kam sogar an den Pfingstfeiertagen um nach uns zu schauen.;
UND ICH BIN KEIN PRIVATPATIENT!;
Ich kann dieses Krankenhaus nur empfehlen.;
Dr. Oettel, seinem Team und dem Pflegepersonal von Station 2 wünsche ich weiterhin viel Erfolg und Spaß in diesem Haus.;
"Marita Roscher Zimmer 215""";
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,4,""Hatte vorletzte Woche eine Schilddrüsen-OP mit kompletter Entfernung der SD. Nach 2 Tagen schon Entlassung. Heute schon wieder arbeitsfähig. Nach Aufwachen aus der Narkose vollkommen schmerzfrei.";
Dank gilt an Dr. Hinrich Seesko sowie das komplette OP- und Pflegeteam.;
"Sehr nett und kompetent. Gutes Essen. Fühlte mich gut aufgehoben und betreut. Kann ich nur weiterempfehlen.""";
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,6,""Bezüglich eines gefäßchirurgischen Eingriffs war ich im Frühjahr 2018 im HEH und bin bis heute mehr als zufrieden. Vielen Dank an das Ärzteteam der dortigen Gefäßchirurgie sowie das Pflegepersonal - die Behandlung und Betreuung habe ich als sehr angenehm wahrgenommen.";
;
Entgegnen der Erfahrung aus einer anderen Klinik war der Ablauf der Voruntersuchungen im HEH sehr gut - freundlicher Empfang und dann Untersuchung sowie ausführliche Erläuterung vom Oberarzt. Die Terminvergabe für die OP erfolgte dann zeitnah. Die vorstationäre Aufnahme vor der OP lief auch sehr gut, schnell und freundlich.;
Nach der OP eine Nacht auf der Intensivstation verbracht bei ebenfalls freundlicher Betreuung durch das Pflegepersonal, dies gilt auch für den Kontakt gegenüber den Angehörigen. Auch die folgenden Tage auf der Station waren geprägt von einer stets sehr hilfsbereiten und freundlichen Art des Pflegepersonals und des Ärzteteams.;
"Vor dem Hinblick, dass ein Krankenhausaufenthalt in aller Regel nicht zum größten Vergnügen gehört, muss ich sagen, dass ich mich im HEH sehr gut aufgehoben gefühlt habe.""";
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 2 Jahren,4,""Kompetente Betreuung, sehr gute Ärzte, sehr gutes Essen.""";
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 5 Jahren,3,Super nettes Pflegepersonal. Fühlte mich während meines Aufenthalts ausgesprochen wohl und gut aufgehoben.;
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,3,""ich möchte mich bei Prof Heller bedanken ,insgesamt wurde ich an meiner Hüfte 8 mal operiert in Goslar und mehrfach in der Endo klinik";
in Hamburg, auf Empfehlung wurde ich bei Pro. Heller vorstellig und wurde dort op.ein tolles Ergebnis ,nach einer Woche wurde ich entlassen;
ich ging nicht in eine Reha und war nach 14 Tagen topfit.Mein Dank geht an Herrn Prof .Heller, aber seine Mitarbeiterinnen und die Küche möchte;
ich nicht vergessen.Bei der Verabschiedung sagte Prof.Heller auf;
Wiedersehen wir sehen uns nicht wieder,am liebsten hätte ich gesagt;
"wollen wir wetten !""";
"Herzogin Elisabeth Hospital,2, 4 Sterne ,vor 3 Jahren,4,""Also erstmal muß ich sagen, daß ich mich dort ganz gut betreut gefühlt habe und auch noch weiter betreut werde. Die Untersuchungen, das Zusammenspiel der Ärzte und des Personals, d.h. Schwestern, Pfleger, Ernährungstherapeuten usw. hat funktioniert. Dennoch hätte ich mir auf Station etwas mehr Ansprache gewünscht. Zimmervisite für Behandlungspflege fand teilweise nur einmal pro Schicht statt, es sei denn, ich habe geklingelt. (Grundpflege habe ich nicht gebraucht) Da ich alleine im Zimmer war, war das manchmal nicht so schön. Der Informationsfluss hätte besser laufen können. Zum Beispiel ist es vielleicht doch wichtig, ob man jetzt mit-oder ohne Seife duschen darf, und was man trinken darf und was nicht, usw, z.B. Teesorten. Da haben andere Patienten teilweise gegenteilige Infos bekommen. Der Ablauf der Zimmerreinigung war für mich völlig kurios: Einer kam um das Bett abzuwischen, Stunden später kam der Nächste mit neuer Wäsche, dann kam wieder wer Anders um den Nachtschrank zu reinigen, dann kam wieder die Erste Person um den Müll zu entfernen? Könnte man besser planen. Aber Irgendwo findet man ja meistens ein Haar in der Suppe!""";
Herzogin Elisabeth Hospital,2, 1 Stern ,vor einem Jahr,1,Kommt  erst nach Jahren dran  obwohl  man die Schmerzen nicht aushält und die Operationen sind grausam;
"Herzogin Elisabeth Hospital,2, 1 Stern ,vor 3 Jahren,6,""Achtung: Das MRT hier ist geschlossen. Für eine Hals/Schulteruntersuchung wurde ich am Kopf arretiert in diese sehr enge Röhre für 15 Minuten geschoben. Dazu bekam ich ein paar gelbe Ohrstöpsel. Ich wusste, dass es bei MRTs auch Musik gibt. Hier gab es das nicht, angeblich würde so etwas immer kaputt gehen. Die Ohrstöpsel - die ich tatsächlich nicht selber mitbringen musste - waren natürlich nahezu wirkungslos. Das wiederlich laute unregelmäßige Klopfen kommt sehr sehr laut auf die Ohren. Ein Handtuch musste ich selbst mitbringen. Obwohl ich vorher präzise angegeben hatte, das es mir  in der Röhre ganz sicher  nicht gut gehen würde, wurde darauf in keiner Weise eingegangen. Es wurde mir keinerlei Entspannungs-/Beruhigungsmittel angeboten. Mir wurde ein Notfallknopf in die Hand gedrückt und ab gings. Ich habe sofort hyperventiliert, bin aber dann doch nicht in Ohnmacht gefallen und habe es geschafft, nicht zu drücken. Vermutlich, weil ich im Hinterkopf hatte, dass dann alles von vorne beginnen würde. Schweißnass und zitternd war ich dann nach ca. 15 völlig einsamen panischen Minuten erlöst worden. Ich war noch nicht ganz  angezogen, da lag schon der Nächste, der nur mit dem Bein hinein musste auf der Schiene. Es war also offensichtlich die Möglichkeit eines Abbruchs eingeplant. Mittlerweile weiß ich, dass ich diese Prozedur gar nicht hätte ertragen müssen - es gibt offene MRTs. Das ist vermutlich der Grund, weshalb ich hier so schnell einen Termin bekommen habe. Ganz sicher geht niemand dort hinein, der von einer Alternative weiß. Die Nichtverabreichung von Entspannungsmitteln kann ich mir nur damit erklären, dass dies das Geschäftsmodell ist. Für eine abgebrochene MRT-Maßnahme kann man trotzdem eine Rechnung erstellen, also doppelt kassieren. Falls nicht abgebrochen wird, hat man wenigstens Medikamente gespart.""";
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,5,""Ich bin sehr zufrieden mit der Klinik. Mir wurde Ende März die Schilddrüse heraus genommen, da mehrere Knoten vorhanden waren. Ich wurde die Zeit, die ich dort verbrachte, sehr gut versorgt. Sowohl das Arztgespräch wie auch die Behandlung nach meiner OP waren sehr gut. Ich hatte vor der OP große Angst ob alles gut gehen wird. Man nahm mir diese und klärte mich ausführlich über die OP auf. Sowohl die Ärzte, als auch die Schwestern haben sich führsorglich um mich gekümmert. Ich kann diese Klinik nur weiter empfehlen. Evtll. steht bei mir bald eine Tennisarm OP an, dann werde ich diese auch dort vornehmen lassen. Alles in Einem: Sowohl das Gesamte Klinikpersonal, wie auch die Verpflegung, das Essen und die Räumlichkeiten haben bei mir einen sehr guten Eindruck hinterlassen. Daher volle 5 Sterne!!!""";
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 7 Jahren,3,""Nach 3 falsch Diagnosen, dort Volltreffer.";
Innenminusk abriss und Innenkreuzband;
Operiert. Narkose Top, OP Top, Saubere;
"Klinik. Essen. Top, Alle Nett(Denkt: Wie man in den Wald ruft,schallt es zurück!). Auf Station sehr gute Badezimmer.Gute Beratung , immer Ansprechbar. Immer wieder!""";
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 2 Jahren,3,Eine umfangreiche und stets freundliche Behandlung!;
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 4 Jahren,4,""HEH. Super Erfahrung, im Sommer 2015 hatte ich eine Darm OP, super gelaufen , TOP Arzt sehr Gewissenhaft gearbeitet!!!!!!!!!!";
Im August 2016 Schwanom im re. Knie , sehr gute Vorbereitung und sehr Profisionelle Narkose und OP man fühlt sich Sicher augehoben.......auch;
"auf Station immer jemand Ansprechbar.........sehr,sehr zu Empfehlen! :-)""";
Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 4 Jahren,6,Gute Station.. sehr nett und freundlich.. hilfsbereit und sehr lustig... Immer wieder gerne..;
"Herzogin Elisabeth Hospital,2, 1 Stern ,vor 4 Jahren,12,""Keine normale Krankenhaus, meine lebensgefâhrte wurde letzte jahr von Dr. Thorban operiert er konnte vor dem op noch laufen und jetzt ist er im rollstuhl gefangen.  Letzte monat sind wir wieder in den krankenhaus gewesen mein lebensgefâhrte wurde in station aufgenommen der Dr. Thorban İst dann nicht mehr aufzufinden. Nach bemühungen haben DİE pfleger meine lebensgefâhrten ziemlich gemoppt und wollten ihn sogar mitten in der nacht aus dem krankenhaus werfen. DİE ârzte wollten ihn nicht mehr er solle gehen haben DİE gesagt mein lebensgefâhrte hatt darauf gesagt das er ziemliche schmerzen hatt und der arzt hatt nur gelacht und ihm gesagt er sei paşa er konnte laufen aber er will es nicht. İch glaube DİE sind entweder Razisten oder âhnliches""";
"Herzogin Elisabeth Hospital,2, 5 Sterne ,vor 3 Jahren,3,""Sehr gute Ärzte, Operateure und freundliches Pflegepersonal.";
"Beide Daumen hoch.""";
