Name der Klinik,Sternbewertung,Datum der Bewertung,Likes,Textuelle Bewertung
Augenklinik Dr. Hoffmann, 5 stars ,a month ago,0,"(Translated by Google) Hello everybody,
The visual school in your clinic is very competent and very nice in dealing with the patient. One compliment to Ms. Behrends! Thank you very much for your trouble.

(Original)
Hallo zusammen,
die Sehschule in Ihrer Klinik, ist sehr kompetent und sehr nett im Umgang der Patientin und Patienten. Ein Lob einmal für Frau Behrends! Vielen Lieben Dank für Ihre Mühe."
Augenklinik Dr. Hoffmann, 5 stars ,a month ago,0,"(Translated by Google) With these lines my wife would like to thank you very much. The first thing she said was that she had seen such blue skies again in a long time!

(Original)
Mit diesen Zeilen möchte sich meine Frau herzlich bedanken. Dass Erste was sie sagte war, dass sie seit langer Zeit wieder so einen blauen Himmel sah !"
Augenklinik Dr. Hoffmann, 5 stars ,7 months ago,0,"(Translated by Google) I was there with my son (4) last week and this time also with an appointment and everything went very quickly .. Faster than expected .. Really friendly staff, also with regard to my little one ... He felt really good .. No theater and went through everything and all that despite the current situation .. We were already there about 2 years ago .. At that time in the open consultation hours but waiting times were also very reasonable .. Can only recommend the eye clinic .. Next so

(Original)
Ich war letzte Woche mit meinem Sohn (4) dort gewesen und diesmal auch mit Termin und es ging alles sehr zügig.. Schneller als gedacht.. Wirklich freundliches Personal auch in Bezug auf meinen kleinen...Er  hat sich echt wohl gefühlt.. Kein Theater und hat alles mitgemacht und das alles trotz der aktuellen Situation..Wir waren vor ca 2 Jahren auch schon mal da..damals in der offenen Sprechstunde aber auch da waren Wartezeiten voll im Rahmen..Kann die Augenklinik nur empfehlen.. Weiter so"
Augenklinik Dr. Hoffmann, 5 stars ,2 months ago,0,"(Translated by Google) The entire team was very nice and attentive.
Received my needs with understanding and stood by my side.

(Original)
Gesamtes Team sehr nett und aufmerksam.
Auf meine Bedürfnisse mit Verständnis eingegangen und mir zur Seite gestanden."
Augenklinik Dr. Hoffmann, 1 star ,6 months ago,1,"(Translated by Google) MOTHER GETS THROUGHOUT LACK OF CARE.

Throughout the whole corona crisis, the staff was of the opinion that they could not let me keep my appointment despite the appointment. I was there with my daughter, which is why they didn't let me in. they were of the opinion that the child could not wait outside alone and should not come in either.
My daughter doesn't have a daycare place yet, so I couldn't give her up either. My travel time is about one and a half hours and all of this for free.

(Original)
MUTTER WIRD RAUSGESCHMISSEN WEGEN MANGEL AN BETREUUNG.

Durch die ganze Corona krise war das Personal der Meinung mich trotz Termin nicht meinen Termin wahrnehmen lassen zu können. Ich war mit meiner Tochter dort, weshalb sie mich nicht reingelassen haben. sie waren der Meinung das Kind könnte nicht alleine draußen warten und dürfte auch nicht mit reinkommen.
Meine Tochter hat noch keinen kitaplatz deshalb ich sie auch nicht abgeben konnte. Meine anfahrtszeit beträgt ca anderthalb Stunden und dies alles umsonst."
Augenklinik Dr. Hoffmann, 5 stars ,6 months ago,0,"(Translated by Google) The Dr. Hoffmann can only be recommended. There were no complications or long waiting times during my visits and my surgery. All the staff are very nice. There are always a lot of patients on site, but it is a good and fast process!

(Original)
Die Augenklinik Dr. Hoffmann ist nur zu empfehlen. Es gab bei meinen Besuchen und meiner OP keine Komplikationen oder längere Wartezeiten. Alle Mitarbeiter sind sehr nett. Es sind zwar immer viele Patienten vor Ort, aber es ist ein guter und schneller Ablauf!"
Augenklinik Dr. Hoffmann, 1 star ,3 months ago,1,"(Translated by Google) I would love to give no star at all! This shop is a scam. We were lied to and fooled several times! Worst of all, the doctor and nurse tell completely different things!

(Original)
Am liebsten würde ich garkein Stern geben! Dieser Laden ist Betrug. Wir wurden angelogen und mehrmals verarscht! Am schlimmsten ist, dass Arzt und Schwestern komplett unterschiedliche Sachen erzählen!"
Augenklinik Dr. Hoffmann, 5 stars ,5 months ago,1,"(Translated by Google) I had an appointment with my 5 year old son whose treatment I was not satisfied with by another doctor (2 glasses within 3 months, inconsistent eye test ...). I got an appointment very quickly, was taken seriously and all employees were very friendly. It took some waiting time, but my son was examined very, very thoroughly (and no longer needs glasses).

(Original)
Ich hatte einen Termin mit meinem 5-jährigen Sohn, mit dessen Behandlung ich bei einem anderen Arzt nicht zufrieden war ( 2 Brillen innerhalb von 3 Monaten, widersprüchlicher Sehtest... ). Ich bekam recht zügig einen Termin, wurde ernst genommen und alle MA waren sehr freundlich. Es hat zwar etwas Wartezeit gekostet, aber mein Sohn wurde sehr sehr gründlich untersucht ( und braucht auch keine Brille mehr )."
Augenklinik Dr. Hoffmann, 5 stars ,2 months ago,0,"(Translated by Google) I had the natural lens replaced by bi-focal lenses in both eyes.
I received very professional advice at the eye clinic.
The operation was very straightforward and problem-free. The staff is very friendly. I am completely satisfied.

(Original)
Ich habe an beiden Augen die natürliche Linse durch Bi-Fokale-Linsen ersetzen lassen.
In der Augenklinik wurde ich sehr professionell beraten.
Die OP verlief sehr unkompliziert und problemlos. Das Personal ist sehr freundlich. Ich bin rundum zufrieden."
Augenklinik Dr. Hoffmann, 5 stars ,3 weeks ago,0,"(Translated by Google) Hello dear operating team! I am really really satisfied. My first eye was operated on very well and now the second one here too, very good. Despite the waiting time, we had a nice chat in the anteroom to the operating room. Very nice sisters and the funny anesthesiologist Alexander took my fear away. The anesthetist should also be mentioned, Ms. Wegener? Unfortunately I forgot the name. I have rarely seen that attentive and affectionate in my career with illness. Really very, very nice. The nurses in the waiting room were really nice too. Dr. Dude, there were still funny comments during the operation! Thank you so much.
What is perhaps more important, there was something to eat on both days after the operation. Here too: tasty and good. Thank you very much for your effort.

(Original)
Guten Tag liebes Op Team ! Ich bin wirklich richtig zufrieden   Mein erstes Auge wurde sehr gut operiert und nun das zweite auch hier , sehr gut. Trotz Wartezeit, aber wir wurden nett unterhalten im Vorraum zum Operationssaal. Sehr nette Schwestern und der lustige Anästhesiepfleger Alexander haben mir die Angst  genommen. Weiterhin ist die Anästhesistin zu erwähnen , Frau Wegener? Ich habe leider den Namen vergessen. So aufmerksam und zugewandt, das habe ich in meiner Krankheitslaufbahn, sehr selten erlebt. Wirklich sehr sehr nett. Auch die Schwestern im Wartezimmer waren wirklich nett. Operiert hat mich Dr. Geck, es gab auch während der Op noch lustige Kommentare! Vielen lieben Dank.
Was vielleicht noch wichtig ist , an beiden Tagen gab es nach der Operation etwas zu essen. Auch hier : lecker und gut. Vielen Dank für ihre Arbeit."
Augenklinik Dr. Hoffmann, 5 stars ,a month ago,0,"(Translated by Google) Nice and friendly staff, after a short intervention I can see everything in HD again.
Many Thanks!!!!

(Original)
Nettes und freundliches Personal, nach kurzem Eingriff kann ich wieder alles in HD sehen.
Vielen dank!!!!"
Augenklinik Dr. Hoffmann, 5 stars ,5 months ago,0,"(Translated by Google) I always felt well advised. The staff was extremely courteous and friendly. I would recommend my OP at any time. Great team.

(Original)
Ich habe mich stets gut beraten gefühlt. Das Personal war äußerst zuvorkommend und freundlich. Ich würde meine OP jederzeit weiterempfehlen. Tolles Team."
Augenklinik Dr. Hoffmann, 5 stars ,a month ago,1,"(Translated by Google) Dear Sirs,

on 11/11/2020 I visited your clinic on the recommendation of my ophthalmologist Dr. Geiger, WF, to have my eyes examined; when I saw the full waiting room, I expected several hours to wait! I was pleasantly surprised when after 5 minutes I was called into the treatment room, where I was welcomed in a friendly manner by the young ladies and examined one after the other on various devices; Due to a tremor, it was hardly possible for me to keep my head still, but here, too, your employees showed themselves to be very helpful! Special thanks go to Ms. Walentowski, who at the end of the examination explained to me in understandable words what happens during an eye operation.

The first operation was on November 27 + November 28, 2020; Here, too, I was welcomed in a friendly manner by the nurses and the surgical team and prepared for the surgery, which was over after about 5 minutes while I was still waiting for the old lens to be ""smashed and suctioned"" !!! The afternoon, evening and night with you passed calmly. (Note: the supper was very scarce, but the nurse improved it). The next morning the tension was great when the bandage was removed. Great astonishment on my part: Bright, clear vision that I didn't know anymore!

The second operation took place on January 20th, 2021; I can make it short here: All the positive features of the 1st OP also applied here!

I congratulate you on these employees, starting with the drivers, the cleaning staff, the nurses, the operating room team, the senior physician and the chief physician, and I will pass on my positive experiences to my friends and acquaintances.

(Original)
Sehr geehrte Damen und Herren,

am 11.11.2020 besuchte ich Ihre Klinik auf Empfehlung meines Augenarztes Dr. Geiger, WF, um meine Augen untersuchen zu lassen; als ich das volle Wartezimmer sah, rechnete ich mit mehreren Stunden Wartezeit! Angenehm überrascht war ich, als man mich nach 5 Minuten in das Behandlungszimmer rief, wo ich freundlich von den jungen Damen empfangen wurde und nacheinander an diversen Geräten untersucht wurde; durch einen Tremor war es mir kaum möglich, den Kopf ruhig zu halten, doch auch hier zeigten sich Ihre Mitarbeiterinnen als sehr hilfsbereit! Ein besonderer Dank geht an Frau Walentowski, die mir zum Abschluß der Untersuchung in verständlichen Worten erklärte, was bei einer Augen-OP geschieht.

Die erste OP war am 27.11 + 28.11.2020; auch hier wurde ich freundlich von den Schwestern und dem OP- Team empfangen und auf die OP vorbereitet, die dann bereits nach ca`5 Minuten vorbei war, während ich immer noch auf`s ""zertrümmern und absaugen"" der alten Linse wartete!!! Der Nachmittag, der Abend und die Nacht bei Ihnen verliefen ruhig.  (Bemerkung: Das Abendbrot war sehr knapp, wurde aber von der Schwester nachgebessert). Am nächsten Morgen war die Spannung groß, als der Verband entfernt Wurde. Großes Staunen meinerseits: Helles, klares Sehen, wie ich es nicht mehr kannte!

Am 20.01.2021 erfolgte die 2. OP; hier kann ich es kurz machen: Alle positiven Merkmale der 1. OP trafen auch hier zu!

Ich beglückwünsche Sie zu diesen Mitarbeiterinnen und Mitarbeitern angrfangen beim Fahrpersonal über die Reinigungskraft, die Schwestern, das OP - Team, den Oberarzt und den Chefarzt und werde meine guten Erfahrungen an meinen Bekannten- und Freundeskreis weitergeben."
Augenklinik Dr. Hoffmann, 5 stars ,8 months ago,0,"(Translated by Google) First of all I want to say that the organization worked very well despite Corona. Some can cut off a slice of it.
I found the advice from the doctor to be very competent.
He answered all my questions and didn't seem rushed. Finally someone who took the time.
The helpers I met in the registration, examination and in the doctor's room were all very friendly, which I really liked.
Can only recommend this practice.
Overall, you noticed a good atmosphere on site, which I noticed positively.

(Original)
Zu allererst möchte ich sagen das die Organisation trotz Corona sehr gut funktioniert hat. Da können sich einige eine Scheibe von abschneiden.
Die Beratung durch den Arzt empfand ich als sehr kompetent.
Er beantworte alle meine Fragen und wirkte nicht gehetzt. Endlich mal jemand der sich Zeit genommen hat.
Die Helferinnen den ich in der Anmeldung, Untersuchung und im Arztzimmer begegnete waren alle sehr freundlich, was mir sehr gefiel.
Kann diese Praxis nur weiter empfehlen.
Man merkte insgesamt eine gute Stimmung vor Ort was mir positiv auffiel."
Augenklinik Dr. Hoffmann, 5 stars ,7 months ago,0,"(Translated by Google) I was in the open consultation on Friday with an infection. Great how quickly the process was. In the entrance area a young woman asked me to disinfect my hands and forwarded to the waiting area. A short time later I went to the doctor. There, too, very friendly and responsive to me. I felt in good hands. Will now be my future contact point for eye problems. Many thanks.

(Original)
Ich war mit einer Entzündung am Freitag in der offenen Sprechstunde. Klasse wie zügig der Ablauf war. Im Eingangsbereich eine junge Frau die mich bat Hände zu desinfizieren und weiterleitete zum Wartebereich. Kurze Zeit später ging es schon zur Ärztin. Auch dort sehr freundlich und mir zu gewandt. Hab mich gut aufgehoben gefühlt. Wird jetzt meine zukünftige Anlaufstelle bei Augenproblemen. Vielen Dank."
Augenklinik Dr. Hoffmann, 5 stars ,4 months ago,0,"(Translated by Google) Very good and friendly staff would operate on cataracts again can look excellent again without glasses Thank you

(Original)
Sehr gutes und freundliches Personal würde am grauen Star operiert kann wieder ohne Brille wieder hervorragend gucken Danke"
Augenklinik Dr. Hoffmann, 5 stars ,a week ago,0,"(Translated by Google) Very good and personal support!

(Original)
Sehr gute und persönliche Betreuung!"
Augenklinik Dr. Hoffmann, 5 stars ,2 months ago,1,"(Translated by Google) My father was successfully treated or operated on in the eye clinic for the cataract. The entire process, pre-examination, consultation and finally the operation itself went to our complete satisfaction. The staff are all very friendly and everything was very well organized. The aggravating measures currently required with regard to Corona are also implemented in the best possible way and successfully, you feel very well looked after. A pick-up service for the surgery was also offered, but we didn't use it. On site, the patient or my father was offered coffee and a small snack: Excellent, very courteous service! We will also remember the fact that in the late afternoon after the operation they asked again how my father was and whether he had arrived safely at home. Here, as a patient, you feel well advised and in very good hands!

(Original)
Mein Vater wurde in der Augenklinik aufgrund des grauen Stars erfolgreich behandelt bzw. operiert. Der gesamte Ablauf, Vor - Untersuchung, Beratung und schlussendlich die Operation selbst ist zu unserer vollsten Zufriedenheit verlaufen. Die Mitarbeiter sind allesamt sehr freundlich und es war alles sehr gut organisiert. Auch die gerade erforderlichen, erschwerenden Maßnahmen hinsichtlich Corona werden bestmöglich und erfolgreich umgesetzt, man fühlt sich sehr gut umsorgt. Angeboten wurde auch ein Abholservice zum OP Termin, den wir jedoch nicht in Anspruch genommen haben. Vor Ort wurde dem Patienten bzw. meinem Vater Kaffee und ein kleiner Snack angeboten: Hervorragender, sehr zuvorkommender Service! Besonders positiv in Erinnerung bleiben wird uns auch, daß man sich am späten Nachmittag nach der Operation nochmal nach dem Befinden meines Vaters erkundigt hat und ob er gut zuhause angekommen war. Hier fühlt man sich als Patient bestens beraten und rundum sehr gut aufgehoben!"
Augenklinik Dr. Hoffmann, 5 stars ,3 months ago,0,"(Translated by Google) I'm over-satisfied with the clinic staff who looked after me the week after my operation. Starting with the staff that was responsible for the food supply and cleaning the premises, to the nurses, to the doctor and your assistant in the examination practice, I cannot complain at all. Likewise, the explanation of the necessary anesthetic measures and the reassurance during the local anesthesia as well as up to the previous operation result all went to my complete satisfaction. Everything is also far from the premises, hygiene, etc.
from better than in a general Clinic.
That there were no TV screens in the individual rooms, well, after that
During the operation I hardly saw anything with the operated eye anyway
and for the radio I had my iPad with me.
Of course there will always be situations and people who are not satisfied. I too had positives and negatives about operations
heard in this clinic. But I cannot confirm this. Everyone who was operated on during my time there and with whom I had contact were satisfied.

(Original)
Ich bin überzufrieden mit dem Klinikpersonal, die mich in der Woche nach meiner Operation betreuten. Angefangen von dem Personal, dass für die Essensverpflegung und Reinigung der Räumlichkeiten zuständig war, über das Schwesternpersonal bis hin zur Ärztin und Ihrer Assistentin in  der  Untersuchungspraxis kann ich mich überhaupt nicht beschweren. Ebenso die Aufklärung hinsichtlich der notwendigen Narkosemaßnahmen und der Beruhigung während der örtlichen Narkose sowie bis zum bisherigen Operationsergebnis ist alles zu meiner vollsten Zufriedenheit abgelaufen. Auch von den Räumlichkeiten, der Hygiene etc. ist alles weit
aus besser als in einer allgem. Klinik.
Das es keine TV-Schirme auf den einzelnen Zimmern gab, na ja, nach der
OP habe ich sowieso kaum etwas mit dem operierten Auge scharf sehen
können und für Radio hatte ich mein I-Pad dabei.
Natürlich wird es immer Situationen und Leute geben, die nicht zufrieden sind. Auch ich hatte Positives und Negatives hinsichtlich von Operationen
in dieser Klinik gehört. Aber ich kann dies nicht bestätigen. Alle die in meiner Zeit dort operiert wurden und mit denen ich Kontakt hatte, waren zufrieden."
Augenklinik Dr. Hoffmann, 4 stars ,6 months ago,0,"(Translated by Google) Child-friendly doctor and helper. Was able to help quickly. With a toddler and longer waiting times, however, a play area would be more pleasant.

(Original)
Kinderfreundliche Ärztin und Helferin. Konnte schnell helfen. Mit Kleinkind bei längeren Wartezeiten wäre eine spielecke jedoch angenehmer."
Augenklinik Dr. Hoffmann, 1 star ,4 months ago,0,"(Translated by Google) The clinic is kind of old and dirty. The nurses look unkempt. But the doctors are not bad.

(Original)
Die Klinik ist irgendwie alt und dreckig. Die Arzthelferinnen sehen ungepflegt aus. Aber die Ärtze sind nicht schlecht."
Augenklinik Dr. Hoffmann, 5 stars ,7 months ago,0,"(Translated by Google) Really super friendly staff! I felt that I was in very good hands and the doctor also took a lot of time for me. I can only recommend! :-)

(Original)
Wirklich super freundliches Personal! Ich habe mich sehr gut aufgehoben gefühlt und auch der Arzt hat sich viel Zeit für mich genommen. Kann ich nur weiter empfehlen! :-)"
Augenklinik Dr. Hoffmann, 1 star ,5 months ago,0,"(Translated by Google) I have nothing to complain about at the clinic, but the waiting times are just too long. Even for a routine check-up, you should plan 3-4 hours.

(Original)
Ich habe an der Klinik nichts auszusetzen, jedoch sind die Wartezeiten einfach zu lange. Selbst für eine Routine Nachuntersuchung sollte man 3-4 Stunden einplanen."
Augenklinik Dr. Hoffmann, 5 stars ,7 months ago,0,"(Translated by Google) I was really pleasantly surprised! After I was very disappointed yesterday at the open consultation of another ophthalmologist, and the older reviews at this eye clinic didn't promise anything too good either, I went there this morning with mixed feelings.

I was there around 07:25 (07:30 the open consultation hour begins) and by then it was already ""entry"" for a few minutes. Everything was very well organized, you went through several stations until you ended up with the doctor - and all the employees I was in contact with were super nice and helpful.
In total, I waited about 45 minutes at the end, which is still completely within the scope of such an open consultation. The doctor herself was also very friendly and seemed competent. I was examined in peace and everything was explained to me, there was absolutely no feeling of being processed (although I didn't have an appointment).

In the end, after about an hour, I was back outside and felt well advised and examined (I was at the doctor's office for at least 15 minutes, I would estimate - that's a lot of time that is taken nowadays!) - well everything better than expected!

(Original)
Ich war wirklich positiv überrascht! Nachdem ich gestern bei der offenen Sprechstunde eines anderen Augenarztes sehr enttäuscht wurde, und die älteren Rezensionen bei dieser Augenklinik hier auch nichts allzu gutes versprachen, bin ich mit gemischten Gefühlen heute morgen hingefahren.

Ich war gegen 07:25 da (07:30 beginnt die offene Sprechstunde) und da war auch bereits „Einlass“ seit ein paar Minuten. Es lief alles sehr gut organisiert ab, man durchlief quasi mehrere Stationen bis man dann am Ende bei der Ärztin landete - und alle Mitarbeiterinnen mit denen ich währenddessen Kontakt hatte waren super nett und hilfsbereit.
Insgesamt habe ich am Ende knapp 45 Minuten gewartet, was bei so einer offenen Sprechstunde noch total im Rahmen ist m.M.n. Die Ärztin selbst war auch total freundlich und wirkte kompetent. Ich wurde in Ruhe untersucht und mir wurde alles erklärt, man hatte absolut nicht das Gefühl einer Abfertigung (obwohl ich ja keinen Termin hatte).

Letztendlich war ich dann nach ca. 1 Stunde wieder draußen, habe mich gut beraten und untersucht gefühlt (ich war mindestens 15 Minuten bei der Ärztin drin würde ich schätzen - das ist heutzutage ja schon wirklich viel Zeit, die sich genommen wird!) - also alles besser als gedacht!"
Augenklinik Dr. Hoffmann, 5 stars ,8 months ago,0,"(Translated by Google) My treatment went without complications. I felt very well looked after during the preliminary examination! A nurse / doctor was always by my side during my operation.

(Original)
Meine Behandlung verlief ohne Komplikationen. Ich habe mich bereits während der Voruntersuchung sehr gut aufgehoben gefühlt! Während meiner OP war immer ein Pfleger/Arzt an meiner Seite."
Augenklinik Dr. Hoffmann, 5 stars ,6 months ago,0,"(Translated by Google) My mother had to have cataracts in both eyes and everything worked out fine. She has regained a better quality of life.

(Original)
Meine Mutter musste an beiden Augen am grauen Star operiert werden und es hat alles bestens geklappt. Sie hat wieder mehr Lebensqualität gewonnen."
Augenklinik Dr. Hoffmann, 5 stars ,7 months ago,1,"(Translated by Google) I'm very satisfied. I have already been treated twice (different findings).
Everything was very pleasant, competent and friendly.

That's how you wish it!

(Original)
Ich bin sehr zufrieden. Ich war bereits zwei mal in Behandlung (verschiedene Befunde).
Alles sehr angenehm, kompetent und freundlich.

So wünscht man sich das!"
Augenklinik Dr. Hoffmann, 5 stars ,7 months ago,0,"(Translated by Google) We recommend!
I felt that I was in good hands at all times and was well informed about treatments.

(Original)
Sehr zu empfehlen!
Ich hab mich zu jeder Zeit gut aufgehoben gefühlt und wurde über Behandlungen bestens aufgeklärt."
Augenklinik Dr. Hoffmann, 5 stars ,5 months ago,0,"(Translated by Google) Very nicely and clearly explained.
I am happy. Must give 5 stars.

(Original)
Sehr nett und klar erklärt.
Ich bin zufrieden. Muss 5 Sterne geben."
Augenklinik Dr. Hoffmann, 5 stars ,9 months ago,0,"(Translated by Google) I can only report positively here.
Very nice team of doctors, nice medical assistants, quick appointment, good care.
No preliminary diagnosis without sufficient findings. Without the pretreatment, the treatment in the KH would have taken longer.
The only thing that could be ""criticized"" are the parking spaces that are actually not available. But everything else is great! To recommend!

(Original)
Ich kann hier durchweg nur positiv berichten.
Sehr nettes Ärzteteam, nette Arzthelferinnen, schnelle Terminvergabe, gute Betreuung.
Keine Vorabdiagnosen ohne genügend Befunde. Ohne die Vorbehandlung hätte die Behandlung im KH sicherlich noch länger gedauert.
Das einige was es zu „bemängeln“ gäbe sind die eigentlich nicht vorhandenen Parkplätze. Aber sonst alles Top! Weiterzuempfehlen!"
Augenklinik Dr. Hoffmann, 1 star ,8 months ago,0,"(Translated by Google) One should perhaps send the lady on the phone to the bathroom to count as tiles. She is extremely rude and disrespectful.
Dear woman, think about changing jobs, it is never too late.

(Original)
Die Dame am Telefon sollte man eventuell zum Kacheln zählen ins Badezimmer schicken. Sie ist extrem unhöflich und respektlos.
Liebe Frau denken sie über einen Job Wechsel nach, es ist nie zu spät."
Augenklinik Dr. Hoffmann, 5 stars ,8 months ago,1,"(Translated by Google) I felt very cared for and was given absolutely competent and friendly advice.

Always recommended 🍾

(Original)
Ich habe mich sehr aufgehoben gefühlt, und wurde absolut kompetent und freundlich beraten.

Wird stets weiter empfohlen 🍾"
Augenklinik Dr. Hoffmann, 5 stars ,9 months ago,1,"(Translated by Google) A few years ago I went to the eye clinic with a retinal detachment, it was operated very quickly and absolutely professionally.
Since then I've been there for regular check-up and treatment! Still happy!

(Original)
Ich bin vor einigen Jahren mit einer Netzhautablösung in die augenklinik gegangen, es wurde sehr schnell und absolut professionell operiert.
Seit dem bin ich zu der regelmäßigen Kontrolle und Behandlung dort! Nach wie vor immer zufrieden!"
Augenklinik Dr. Hoffmann, 1 star ,5 months ago,0,"(Translated by Google) At the time of corona it is understandable that you are not allowed to sit in the waiting room with two people all the time .. but that you have been sitting in front of the door in a tent for almost 4 hours where the heaters do not go is an absolute cheek! And then you are thrown out because you warm up for 10 minutes

(Original)
Es ist zur Zeit von corona verständlich das man nicht die ganze zeit zu 2 im wartezimmer platz nehmen darf.. das man hier aber seit fast 4 stunden vor der Tür in einem Zelt sitzt wo die heizstrahler nicht gehen ist eine absolute Frechheit! Und man dann noch raus geschmissen wird Weil man sich mal 10 Minuten aufwärmt"
Augenklinik Dr. Hoffmann, 1 star ,6 months ago,0,"(Translated by Google) The information on the website is incorrect. I went there at 9:00 am for an emergency and was directed by a very unfriendly office worker. Nothing goes without an appointment. Not even in emergencies.

(Original)
Die Informationen auf der Website sind falsch. Ich bin um 9:00 Uhr wegen eines Notfalls hingefahren und wurde von einer sehr unfreundlichen Sprechstundenhilfe angewiesen. Ohne einen Termin gehe garnichts. Auch nicht bei Notfällen."
